index,channel_name,category,description,keywords,language,difficulty_level,subscribers,avg_views,content_type,content
0,techno gamerz,gaming,gaming walkthrough videos,gta gaming gameplay,hindi,Beginner,35000000.0,2500000.0,gaming,gaming gaming walkthrough videos gta gaming gameplay hindi gaming
1,proko,art,drawing tutorials and techniques,drawing sketch art,english,Beginner,3000000.0,200000.0,tutorials,art drawing tutorials and techniques drawing sketch art english tutorials
2,bbc news,news,global news updates daily,world news,english,Beginner,15000000.0,1200000.0,news,news global news updates daily world news english news
3,peter mckinnon,photography,photography and editing tips,camera editing,english,Intermediate,6000000.0,500000.0,tutorials,photography photography and editing tips camera editing english tutorials
4,flying beast,lifestyle,daily vlogs and travel,lifestyle vlog,hindi,Beginner,8000000.0,600000.0,vlogs,lifestyle daily vlogs and travel lifestyle vlog hindi vlogs
5,alan walker,music,electronic music videos,edm music,english,Beginner,45000000.0,4000000.0,music,music electronic music videos edm music english music
6,think school,business,business case study videos,business analysis,hindi,Intermediate,2500000.0,200000.0,education,business business case study videos business analysis hindi education
7,vsauce,science,science explanation videos,science facts,english,Advanced,18000000.0,1500000.0,education,science science explanation videos science facts english education
8,village cooking channel,cooking,traditional village cooking in large quantities,village cooking traditional food,english,Beginner,23000000.0,1800000.0,cooking,cooking traditional village cooking in large quantities village cooking traditional food english cooking
9,golgappa girl,cooking,street food recipes and indian snacks,street food golgappa recipes,hindi,Beginner,800000.0,90000.0,cooking,cooking street food recipes and indian snacks street food golgappa recipes hindi cooking
10,ravi gupta,entertainment,hindi standup comedy and relatable jokes,standup comedy hindi jokes,hindi,Beginner,1200000.0,150000.0,entertainment,entertainment hindi standup comedy and relatable jokes standup comedy hindi jokes hindi entertainment
11,harsh gujral,entertainment,crowd work and standup comedy,standup crowd work comedy,hindi,Beginner,2200000.0,250000.0,entertainment,entertainment crowd work and standup comedy standup crowd work comedy hindi entertainment
12,zakir khan,entertainment,storytelling based standup comedy,storytelling standup comedy,hindi,Beginner,7800000.0,600000.0,entertainment,entertainment storytelling based standup comedy storytelling standup comedy hindi entertainment
13,anubhav singh bassi,entertainment,storytelling and standup comedy,standup storytelling comedy,hindi,Beginner,5000000.0,400000.0,entertainment,entertainment storytelling and standup comedy standup storytelling comedy hindi entertainment
14,abhishek upmanyu,entertainment,observational standup comedy,standup witty comedy,hindi,Intermediate,4200000.0,350000.0,entertainment,entertainment observational standup comedy standup witty comedy hindi entertainment
15,samay raina,entertainment,comedy and chess streaming,chess comedy live stream,hindi,Beginner,2000000.0,250000.0,entertainment,entertainment comedy and chess streaming chess comedy live stream hindi entertainment
16,aakash gupta,entertainment,standup comedy and crowd interaction,standup comedy crowd,hindi,Beginner,1800000.0,200000.0,entertainment,entertainment standup comedy and crowd interaction standup comedy crowd hindi entertainment
17,carryminati,entertainment,roasting and reaction videos,roasting reaction youtube,hindi,Beginner,41000000.0,3000000.0,entertainment,entertainment roasting and reaction videos roasting reaction youtube hindi entertainment
18,ashish chanchlani,entertainment,comedy sketches and funny videos,comedy sketches funny,hindi,Beginner,30000000.0,2500000.0,entertainment,entertainment comedy sketches and funny videos comedy sketches funny hindi entertainment
19,bhuvan bam,entertainment,comedy sketches and storytelling,bb ki vines comedy,hindi,Beginner,26000000.0,2000000.0,entertainment,entertainment comedy sketches and storytelling bb ki vines comedy hindi entertainment
20,slayy point,entertainment,commentary and roasting videos,roasting commentary funny,hindi,Beginner,8000000.0,700000.0,entertainment,entertainment commentary and roasting videos roasting commentary funny hindi entertainment
21,triggered insaan,entertainment,reaction videos and gaming comedy,reaction gaming comedy,hindi,Beginner,21000000.0,1500000.0,entertainment,entertainment reaction videos and gaming comedy reaction gaming comedy hindi entertainment
22,tech burner,technology,fun tech reviews and experiments,tech gadgets review,hindi,Beginner,11000000.0,900000.0,reviews,technology fun tech reviews and experiments tech gadgets review hindi reviews
23,geeky ranjit,technology,detailed gadget reviews,mobile review tech,english,Intermediate,3200000.0,250000.0,reviews,technology detailed gadget reviews mobile review tech english reviews
24,beebom,technology,tech news and tutorials,tech news apps gadgets,english,Beginner,3500000.0,300000.0,education,technology tech news and tutorials tech news apps gadgets english education
25,mr indian hacker,science,experiments and diy science projects,science experiments diy,hindi,Beginner,32000000.0,2500000.0,education,science experiments and diy science projects science experiments diy hindi education
26,facttechz,science,interesting facts and mysteries,facts mystery science,hindi,Beginner,18000000.0,1500000.0,education,science interesting facts and mysteries facts mystery science hindi education
27,dhruv rathee,education,political and social awareness,politics education india,hindi,Intermediate,22000000.0,2000000.0,education,education political and social awareness politics education india hindi education
28,nitish rajput,education,informative and awareness videos,current affairs india,hindi,Beginner,3500000.0,300000.0,education,education informative and awareness videos current affairs india hindi education
29,labour law advisor,education,finance and legal awareness,finance law india,hindi,Beginner,2500000.0,200000.0,education,education finance and legal awareness finance law india hindi education
30,sandeep maheshwari,motivation,life advice and motivational talks,motivation success life,hindi,Beginner,28000000.0,2000000.0,education,motivation life advice and motivational talks motivation success life hindi education
31,gaur gopal das,motivation,spiritual and motivational content,spirituality life lessons,english,Beginner,4500000.0,400000.0,education,motivation spiritual and motivational content spirituality life lessons english education
33,wanderers hub,vlog,travel and challenge videos,travel vlog challenges,hindi,Beginner,7000000.0,600000.0,vlog,vlog travel and challenge videos travel vlog challenges hindi vlog
